Country,Name,Type,City
Spain,Barcelona International Airport,airport,Barcelona
Spain,Getafe Air Base,airport,Madrid
Spain,Adolfo Suárez Madrid–Barajas Airport,airport,Madrid
Spain,Torrejón Airport,airport,Madrid
Spain,Cuatro Vientos,unknown,Madrid
Venezuela,General José Antonio Anzoategui International Airport,airport,Barcelona
Spain,Barcelona Cruise Terminal,unknown,Barcelona
Spain,Atocha,unknown,Madrid
Spain,Chamartin Station,station,Madrid
Spain,Aeroport,unknown,Barcelona
Spain,Passeig de Gracia,unknown,Barcelona
Spain,Sants,unknown,Barcelona
Spain,Barajas Station,station,Madrid
Spain,Aeropuerto T4 Madrid Metro,unknown,Madrid
Spain,Estacio de Franca,unknown,Barcelona
Spain,Placa d Espanya Station,station,Barcelona
Spain,Cuatro Vientos Airport,airport,Madrid
Spain,Barcelona-Sants,,Barcelona
Spain,Madrid Estacion Sur,,Madrid
